t,x,y,z,qw,qx,qy,qz
0,0.9,0.22943765281173592,1.0704156479217604,0.42030107836924613,0.5686388721491851,0.5686379336295645,-0.4202948215717756
1,0.9,0.23088338190206067,1.065519950865879,0.4263246681862615,0.5641368988936305,0.5641360269668476,-0.42631840176165486
2,0.9,0.23222466038351353,1.0605946128773986,0.43230003979681353,0.5595711205817556,0.5595703153464271,-0.43229376445381645
3,0.9,0.23346088146771116,1.0556418621571866,0.4382265173739481,0.5549420536125812,0.5549413151597808,-0.4382202338223149
4,0.9,0.23459148589376647,1.050663939307507,0.4441034306207277,0.5502502215432076,0.5502495499564557,-0.44409713957114105
5,0.9,0.23561596218129624,1.0456630963183835,0.4499301148460437,0.545496155029597,0.5454955503848518,-0.4499238170100347
6,0.9,0.236533846861812,1.0406415955488078,0.45570591103979463,0.5406803917665586,0.5406798541322064,-0.4556996071296613
7,0.9,0.2373447246883914,1.0356017087032587,0.46143016594742053,0.5358034764269306,0.5358030058637792,-0.46142385667614844
8,0.9,0.23804822882353405,1.0305457158039941,0.46710223214378865,0.5308659605999788,0.5308655571612501,-0.46709591822496926
9,0.9,0.23864404100511702,1.0254759041595785,0.4727214681064178,0.525868402729011,0.525868066460334,-0.4727151502541686
10,0.9,0.23913189169037544,1.0203945673301142,0.47828723828803604,0.5208113680482136,0.5208110989876215,-0.4782809172169193
11,0.9,0.2395115601778421,1.0153040040896464,0.48379891318846246,0.5156954285187246,0.5156952266966485,-0.48379258961340443
12,0.9,0.23978287470719228,1.0102065173862071,0.48925586942580507,0.5105211627639428,0.5105210282032094,-0.48924954406201515
13,0.9,0.23994571253694674,1.005104413299972,0.494657489806966,0.5052891560040843,0.5052890887199126,-0.4946511633698561
14,0.9,0.24,1.0,0.5000031633974484,0.49999999998999284,0.49999999998999284,-0.4999968366025516
15,0.9,0.23994571253694674,0.994895586700028,0.5052922855904536,0.49465429293621227,0.494654360220384,-0.5052859591533435
16,0.9,0.23978287470719228,0.9897934826137927,0.5105242581752629,0.4892526394533256,0.48925277401405903,-0.5105179328114731
17,0.9,0.2395115601778421,0.9846959959103535,0.5156984894048984,0.48379565047957424,0.48379585230165023,-0.5156921658298402
18,0.9,0.23913189169037544,0.9796054326698859,0.5208143940630483,0.478283943211758,0.47828421227235013,-0.5208080729919315
19,0.9,0.23864404100511702,0.9745240958404217,0.5258713935302582,0.47271814103543,0.4727184773041069,-0.525865075678009
20,0.9,0.23804822882353405,0.9694542841960059,0.5308689158493729,0.46709887345438966,0.46709927689311875,-0.5308626019305535
21,0.9,0.2373447246883914,0.9643982912967413,0.535806395790226,0.46142677601948506,0.46142724658263656,-0.5358000865189537
22,0.9,0.236533846861812,0.9593584044511922,0.5406832749135697,0.45570249025673065,0.45570302789108275,-0.5406769710034363
23,0.9,0.23561596218129624,0.9543369036816164,0.5454990016342339,0.44992666359474887,0.4499272682394941,-0.5454927037982248
24,0.9,0.23459148589376652,0.9493360606924929,0.5502530312835131,0.4440999492915457,0.44410062087829755,-0.5502467402339266
25,0.9,0.23346088146771116,0.9443581378428134,0.5549448261707683,0.43822300636062456,0.438223744813425,-0.5549385426191352
26,0.9,0.23222466038351353,0.9394053871226014,0.5595738556442421,0.4322964994964514,0.43229730473178,-0.5595675803012448
27,0.9,0.23088338190206067,0.934480049134121,0.564139596151075,0.426321098999276,0.426321970926059,-0.5641333297264683
28,0.9,0.22943765281173592,0.9295843520782396,0.568641531296522,0.42029748069931966,0.4202984192189403,-0.5686352744990514
